epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,94.0343,0.76323,0.61314,0.98945,0.90566,0.95833,0.96349,0.7514,0.75608,0.59002,0.89507,0.00643101,0.00643101,0.00643101
43,96.2016,0.95799,0.75061,1.06732,0.92222,0.9375,0.96276,0.78635,0.6906,0.56934,0.89886,0.00628101,0.00628101,0.00628101
44,98.3091,0.85091,0.59831,1.02028,0.84638,0.91667,0.92074,0.71259,0.74902,0.62832,0.91182,0.00612981,0.00612981,0.00612981
45,100.432,0.89633,0.64705,1.01484,0.95797,0.91667,0.95616,0.76033,0.73492,0.53902,0.89781,0.00597754,0.00597754,0.00597754
46,102.668,0.82381,0.61086,1.0379,0.94078,0.89583,0.94677,0.77753,0.63794,0.52404,0.88075,0.00582435,0.00582435,0.00582435
47,104.807,0.82675,0.55289,1.05256,0.86156,0.875,0.86489,0.70819,0.73214,0.79557,0.90292,0.0056704,0.0056704,0.0056704
48,107.003,0.93302,0.7005,1.03927,0.9804,0.88617,0.9371,0.76691,0.69539,0.63657,0.89334,0.00551584,0.00551584,0.00551584
49,109.157,0.85655,0.81352,1.06875,0.91352,0.89583,0.92226,0.75283,0.73685,0.74354,0.89672,0.00536081,0.00536081,0.00536081
50,111.261,0.89335,0.60061,0.99571,0.94417,0.89583,0.91885,0.76539,0.66408,0.58052,0.893,0.00520548,0.00520548,0.00520548
51,113.454,0.78401,0.6537,0.98448,0.88448,0.90311,0.90711,0.75634,0.68215,0.6823,0.88115,0.00505,0.00505,0.00505
52,115.664,0.89783,0.68765,1.03928,0.89203,0.89583,0.91085,0.77995,0.68053,0.55394,0.88217,0.00489452,0.00489452,0.00489452
53,117.812,0.94779,0.68041,1.04437,0.90889,0.89583,0.90988,0.72739,0.77001,0.58723,0.89022,0.00473919,0.00473919,0.00473919
54,119.959,0.88189,0.70274,1.03592,0.95968,0.9375,0.94562,0.76164,0.67949,0.47812,0.86751,0.00458416,0.00458416,0.00458416
55,122.083,0.90798,0.66418,1.02192,0.8867,0.95833,0.93606,0.79475,0.59775,0.42914,0.86106,0.0044296,0.0044296,0.0044296
56,124.224,0.83447,0.60253,1.02576,0.91925,0.95833,0.95791,0.81626,0.57329,0.4072,0.85285,0.00427565,0.00427565,0.00427565
57,126.425,0.84534,0.6485,1.01252,0.89393,0.95422,0.9407,0.78199,0.63962,0.42911,0.8647,0.00412246,0.00412246,0.00412246
58,128.656,0.71834,0.53504,0.97365,0.9595,0.95031,0.9767,0.81117,0.61141,0.41332,0.85986,0.00397019,0.00397019,0.00397019
59,130.831,0.71965,0.5144,0.9401,0.93938,0.95617,0.96308,0.7823,0.70316,0.4434,0.87215,0.00381899,0.00381899,0.00381899
60,132.94,0.64192,0.6135,0.79383,0.91692,0.97713,0.96401,0.76858,0.72618,0.46481,0.87865,0.00366899,0.00366899,0.00366899
61,135.157,0.74955,0.60101,0.96661,0.95512,0.9375,0.97248,0.81883,0.58156,0.40088,0.84319,0.00352037,0.00352037,0.00352037
62,137.352,0.66627,0.47379,0.95258,0.93153,0.95833,0.97513,0.81343,0.59822,0.42196,0.8429,0.00337325,0.00337325,0.00337325
63,139.51,0.73526,0.49569,0.97646,0.9893,0.91183,0.976,0.8114,0.621,0.42135,0.84755,0.00322778,0.00322778,0.00322778
64,141.637,0.79846,0.61764,0.99649,0.98643,0.91667,0.97085,0.80788,0.58326,0.40258,0.84427,0.00308412,0.00308412,0.00308412
65,143.77,0.75962,0.55386,0.98361,0.9759,0.91667,0.95502,0.80801,0.56816,0.40663,0.84623,0.00294239,0.00294239,0.00294239
66,146.001,0.68701,0.47023,0.93984,0.94584,0.89583,0.94496,0.77156,0.64481,0.43368,0.86139,0.00280275,0.00280275,0.00280275
67,148.163,0.66408,0.49776,0.93171,0.89411,0.89385,0.9055,0.72917,0.71491,0.47792,0.88512,0.00266532,0.00266532,0.00266532
68,150.306,0.73169,0.54545,0.96783,0.9559,0.91667,0.95481,0.8106,0.65365,0.41214,0.85611,0.00253024,0.00253024,0.00253024
69,152.454,0.77422,0.55959,0.96887,0.97537,0.91667,0.96862,0.78684,0.67545,0.41505,0.86388,0.00239766,0.00239766,0.00239766
70,154.552,0.63321,0.45294,0.91277,0.92152,0.97917,0.97369,0.78881,0.70379,0.41208,0.87217,0.00226769,0.00226769,0.00226769
71,156.764,0.8041,0.49927,0.95558,0.9557,0.97917,0.97094,0.79774,0.68268,0.40975,0.87323,0.00214046,0.00214046,0.00214046
72,158.997,0.65155,0.45449,0.91186,0.94073,0.91868,0.96562,0.7643,0.75479,0.4321,0.89802,0.00201611,0.00201611,0.00201611
73,161.211,0.78055,0.51215,0.96676,0.95662,0.9375,0.96589,0.78084,0.69546,0.42414,0.88638,0.00189475,0.00189475,0.00189475
74,163.496,0.72499,0.48719,0.91881,0.93544,0.9375,0.95579,0.76983,0.7192,0.4309,0.87976,0.00177651,0.00177651,0.00177651
75,165.736,0.66791,0.46195,0.97757,0.96205,0.93885,0.97938,0.78366,0.73312,0.42953,0.87602,0.00166149,0.00166149,0.00166149
76,167.891,0.94548,0.6335,1.1316,0.8828,0.91667,0.947,0.78918,0.68791,0.40853,0.86475,0.00154982,0.00154982,0.00154982
77,170.132,0.65599,0.41368,0.92716,0.88805,0.9375,0.95362,0.80714,0.64111,0.395,0.85372,0.00144161,0.00144161,0.00144161
78,172.304,0.63549,0.39918,0.93161,0.92012,0.95833,0.96327,0.80199,0.66382,0.38384,0.85513,0.00133695,0.00133695,0.00133695
79,174.43,0.75662,0.6318,0.99646,0.93744,0.95833,0.96746,0.8159,0.64247,0.36624,0.85325,0.00123596,0.00123596,0.00123596
80,176.579,0.5904,0.42,0.93422,0.94346,0.9375,0.97245,0.82444,0.61533,0.35577,0.84801,0.00113873,0.00113873,0.00113873
81,178.795,0.63494,0.42117,0.92475,0.95586,0.94495,0.97795,0.83987,0.5808,0.34694,0.8432,0.00104537,0.00104537,0.00104537
82,181.015,0.63308,0.44481,0.97199,0.98303,0.92374,0.97517,0.83541,0.58617,0.34569,0.84286,0.000955951,0.000955951,0.000955951
83,183.193,0.68603,0.4992,1.00586,0.97931,0.93516,0.97093,0.8357,0.58903,0.34166,0.84549,0.000870577,0.000870577,0.000870577
84,185.357,0.82039,0.72763,1.033,0.97105,0.9375,0.97255,0.83572,0.59516,0.34348,0.84408,0.000789327,0.000789327,0.000789327
85,187.545,0.75138,0.50002,0.99307,0.96594,0.9375,0.9845,0.84412,0.59959,0.341,0.8451,0.000712282,0.000712282,0.000712282
86,189.781,0.67412,0.46331,0.91953,0.96949,0.9375,0.97657,0.83148,0.60208,0.34221,0.84442,0.000639518,0.000639518,0.000639518
87,191.941,0.68283,0.44934,0.92452,0.97399,0.95833,0.97911,0.83789,0.58547,0.34148,0.84104,0.000571106,0.000571106,0.000571106
88,194.106,0.52924,0.38712,0.85929,0.97295,0.95833,0.987,0.83491,0.56897,0.33934,0.83859,0.000507115,0.000507115,0.000507115
89,196.177,0.51896,0.41929,0.74933,0.96896,0.95833,0.987,0.83554,0.57718,0.34502,0.84071,0.000447606,0.000447606,0.000447606
90,198.343,0.69095,0.50249,0.9662,0.96944,0.95833,0.98767,0.8355,0.57725,0.34691,0.84023,0.00039264,0.00039264,0.00039264
91,213,0.66878,0.4085,0.93458,0.97853,0.95833,0.987,0.83546,0.56139,0.34675,0.83838,0.00034227,0.00034227,0.00034227
92,215.095,0.61196,0.41086,0.90142,0.98336,0.95101,0.987,0.83783,0.56156,0.34423,0.83902,0.000296546,0.000296546,0.000296546
93,217.206,0.59943,0.38749,0.90546,0.97409,0.95833,0.98789,0.8505,0.54497,0.33516,0.8346,0.000255513,0.000255513,0.000255513
94,219.312,0.58989,0.52431,0.84365,0.96643,0.95833,0.98949,0.85185,0.54022,0.33711,0.83302,0.000219212,0.000219212,0.000219212
95,221.558,1.32676,1.36742,1.45781,0.97875,0.95833,0.98949,0.85392,0.53459,0.3296,0.83203,0.000187678,0.000187678,0.000187678
96,223.787,0.57233,0.36155,0.91308,0.98408,0.95307,0.98949,0.85675,0.52798,0.33267,0.83056,0.000160943,0.000160943,0.000160943
97,225.937,0.53402,0.33546,0.8512,0.98431,0.95171,0.98949,0.85275,0.53163,0.33562,0.83103,0.000139032,0.000139032,0.000139032
98,228.078,0.67174,0.38959,0.91035,0.98443,0.95129,0.98865,0.85175,0.5343,0.33272,0.83199,0.000121968,0.000121968,0.000121968
99,230.175,0.58425,0.38101,0.87816,0.98414,0.95398,0.98865,0.85397,0.53617,0.33503,0.83203,0.000109768,0.000109768,0.000109768
100,232.332,0.55335,0.36707,0.90598,0.98431,0.9513,0.98865,0.85725,0.53805,0.33431,0.8318,0.000102443,0.000102443,0.000102443
